ulasan,label
"Mohon perbaiki aplikasi ini, aplikasinya sangat sering mengalami ngebug, setiap mau buka apknya, eh malah keluar. Dan pas apknya diupdate bukannnya tambah bagus eh ngebugnya makin parah, pas sy unninstal, trus instal lagi, eh aplikasinya gk bisa di download. Sya sngat kecewa 😔. Mohon perbaiki apknya soalnya, klo mau melakukan pembelajaran daring, sya jadi gk bisa ikut belajar.",Kurang
"Sangat tidak bermanfaat, saya kira apk nya bagus tapi setelah dicoba apknya tidak sesuai dg kenyataanya. Padahal jaringan saya bagus dan voicenya jelas, namun saat presentase penampilan pptnya tak muncul. Biasanya saat saya pakai apk sebelah, tidak separah ini..di sebelah walaupun jaringannya tidak stabil tpi masih dapat menampilkan ppt dan voicenya jelas.",Kurang
"Aplikasi ini bener-bener buang-buang waktu, gajelas, mana minim fitur, sering eror, banyak banget kurangnya. Aplikasi sebelah lebih keren ngga kaya ini. Semua nya kasih bintang Kurang aja",Kurang
"Setelah update aplikasinya makin gak enak, Kurang. gak ada riwayat terakhir meet(dulu padahal ada) jadi kalo gak sengaja ketekan tombol leave meet harus nyari linknya lagi, 2. Saat koneksi internet lambat waktu klik link buat masuk ke meet gak ada respon apa apa, harusnya kalau sinyal sedang buruk bisa langsung ke aplikasi meet lalu ada animasi loading biar kita tau ini sedan on proses, 3. Saat koneksi internet lambat lalu membuka chat yang ada di dalam meet hanya keluat layar berwarna putih tanpa ad",Kurang
"Menurut saya bagusan fitur yang lama, seharusnya semakin banyak pengguna semakin memudahkan fitur bukan mempersulit... Malahan layar nya menjadi lebih kecil itu sangat tidak baguss....",Kurang
"Banyak kekurangan di dalam aplikasi ini. Video dan audionya terputus-putus ditengah meeting. Bahkan terkadang ter-delay atau terhenti tiba-tiba. Setelah itu, aplikasi akan keluar sendiri. Tolong diperbaiki masalah-masalah tersebut secepatnya. Aplikasi ini merupakan salah satu alternatif pembelajaran online siswa dan mahasiswa. Bila tidak segera kasihan mereka tertinggal.",Kurang
Ga bisa masuk melalui link. Gada solusi sama sekali. Masuk melalui link malah tidak dapat memberi panggilan video. Padahal semua dah di izinkan,Kurang
"Tanpa earphone suara tidak terdetect, padahal semua app lain bekerja sempurna",Kurang
Apk sangat TIDAK bagus.... karna saya nggak bisa ON MIC. Padahal jaringan saya sangat amat baguss KENAPAAA SENDAT SENDATT SUARANYAAAA😢,Kurang
"Baru update gak konek ma speaker, jadi gak ada suaranya",Kurang
Setelah di update tidak bisa menggunakan background video lagi :(,Kurang
Pemilihan share screen hanya yang diizinkan mengeluarkan suara. Jika share screen menggunakan full layar dekstop tidak bisa mengeluarkan suara dari videonya 👎👎👎👎. Sangat tidak membantu. Lebih bagus Aplikasi Zoom.,Kurang
"Ini benar""sangat mengecewakan Aplikasi ini tidak bisa dibuka selalu keluar sendiri padahal jaringan nya full,tpi tetap tidak bisa:) Aplikasi nya sangat mengecewakan sekali,karena saya tidak bisa mengikuti pembelajaran dari rumah Mohon segera diperbaikki aplikasi nya",Kurang
"Sangat susah untuk lokasi yang minim sinyal, data seluler hilang sebentar saja langsung otomatis log out, sinyal memburuk sebentar saja langsung keluar dari aplikasi, sangat menyusahkan pembelajaran lewat google meet padahal sekelas Google tidak mampu mengatasi masalah yang sepele, memalukan.",Kurang
"Background nya gabisa diganti, blur, share screen susah, kalo mau lihat peserta lain harus pin dulu, lebih susah masuknya daripada apk sebelah, padahal hp ku gak kentang loh, terus ternyata banyak yang kasusnya sama. kurang nyaman tolong diperbaiki, soalnya beberapa dosen mintanya pake apk ini gamau pindah apk sebelah",Kurang
"Dari awal daring make yg old version gaada masalah, tapi setelah di update langsung muncul banyak masalah :( ketika on mic dan on cam pasti selalu langsung keluar dari meeting, tulisannya ""Meet telah berhenti"" Padahal kondisi signal saya bagus, dan versi yg dulu pun tidak seperti itu... Ayoo dong kembalikan google meet old version yg hijaunya, lebih nyaman pakai yang dulu :""( buat kalian yg masih pakai old version, lebih baik tidak usah di update sajaaa ya, karena mendingan yg dulu :(",Kurang
"Jadi kecewa sama update kali ini. Kita ga tau siapa aja yg oncam, dilayar utama nya cmn menampilkan 4 orng itupun termasuk kamera kita. Dan agak ribet juga kalo mau ngetik, kita ga bisa ngetik sambil liat yg lagi ngomong dioncam. Tapi satu hal yg bagus yaitu chattannya bisa diliat dari awal sampe akhir. Segera diperbaiki karena app ini aku sering pake buat menghadiri agenda organisasi/eskul sekolah. Keluar mulu kalau masuk kesell",Kurang
"Maap, sementara belum bisa beri bintang Baik dulu ya. Untuk share screennya ok, tetapi belum ada fitur untuk pen. Jadi tolong ditambah fitur pen, supaya mempermudah saat presentasi menggunakan share screen (bisa menjelaskan dan menulis secara langsung sehingga peserta bisa lebih mudah memahami ketika share screen). Terima kasih",Kurang
Lebih suka meet yang dulu. Fitur rise hand dan jadi mode gelap emang udah bagus tapi malah cuman bisa liat dikit dan sering keluar sendiri. Lebih comfortable di pake di PC update annya. Tolong perbaiki lagi,Kurang
"lebih bagus versi yang lama dari pada yang baru susah masuk dan gagal terus setiap masuk jika sudah masuk saya tidak bisa berbicara ke temen sekolah saya,terus tiba² keluar...dan pas saya memencet tombol angkat tangan gk bisa di matiin, klo masuk gagal terus sebel deh jadinya 😤😤😤😤....tolong yang punya meet diperbaiki aplikasinya klo nanti sudah di perbaiki nanti saya kasih bintang ☆☆☆☆☆",Kurang
Aplikasinya baru di download malah gabisa ke pake di hp. Karena keluar masuk terus padahal dah instal ulang masih aja gabisa dipake. Kenapa ya.. Tolong perbaikannya dipercepat ya jadi ganyaman make apk ini,Kurang
Selalu terjadi gangguan terutama di video yang selalu terjeda dan audio yang tidak bagus suara sering tidak jelas. Sering juga tiba tiba video keluar dengan sendirinya.,Kurang
Makin parah yg free nya. Dibikin berbayar aja. Biar full setting,Kurang
"Sebelumnya terimakasih sudah membuat apk yg sangat bermanfaat. Tapi, saya mohon agar diperbaiki. Saya selalu saja tidak bisa bergabung meet padahal udah di reinstall berkali-kali, selalu saja ada suara sedetik lalu menghilang. Sepertinya masalah ini bukan hanya dirasakan oleh saya, kiranya mohon dijadikan perhatian, mohon diperbaiki agar apk ini semakin baik",Kurang
"Makin buruk nih apk lama lama, masa gw gak bisa lihat cam orang lain sama cam w sendiri, dah gitu tombolnya ngebug terus, suka kedap kedip. Terutama bagi yang pc, sangat parah bug nya. Tolong perbaiki!!!!!!!!!!!!",Kurang
Fitur rekaman untuk akun GWE kok hilang...,Kurang
"Sering sekali presentasi ga muncul. Kalaupun muncul, pasti slide selanjutnya lama pembaruannya. Tolong diperbaiki yaa googlee. Terima kasih.",Kurang
"Lebih suka versi yang lama² kalau di hp sama laptop ketimbang yang baru aneh semua filternya. Buat screen gambar video, dll ke orang lain suaranya malah ga kedengeran. Tolong kembalikan versi lama. Terimakasih",Kurang
"Bahasa aplikasi yang keluar malah bahasa turki, walaupun sudah saya setting ke indo. w malah pengen ketawa orang yang nyinyirin suruh ngecek setting aplikasi bahasa masing2. Kalau saat tampilan malah keluar bahasa lain itu kodingannya ada yang ngaco bray. Install aplikasi lain ga gitu kok. kok meet begitu ya tandanya masih belum siap rilis aplikasinya. masalah secure apa ga ya tergantung masing masing lah. No system All Safe Kurang00%. dari sisi user interface masih kalah jauh sama zoom.",Kurang
Gak bisa dipake efek nya,Kurang
"Pas Pakai yg versi lama lebih lancar dan ga ada masalah sama sekali,knp pas di update jadi lemot,ppt dari guru sering tidak muncul, pas pindah slide lemot sering terhenti padahl sudah slide berikutnya.mohon untuk diperbaiki🙏🙏🙏",Kurang
"Tolong diperbaiki lagi, karna saya sedang ada kelas dan ketika syaa masuk room gmeet setiap waktu keluar masuk sendiri padahal jaringan saya sangat stabil. Tolong diperbaiki karna apk ini jika fiturnya bagus sangat membantu disaat pandemi ini",Kurang
"Fiturnya tidak merata di semua hp. Padahal hp saya prosesor, ram, serta memory internal sangat mencukupi untuk mendapatkan fitur blur background tetapi saya tidak mendapat fitur tersebut. Mohon diperbaiki",Kurang
"aplikasinya bnyk kekurangan. pas mau join meeting malah ga bisa terus keluar"" sendiri. pas udh bisa masuk baru 2 menit eh tbtb ada disuruh rate aplikasi. pas di rate malah keluar dan ga bisa masuk lagi. dan aplikasi ini keseringan ga bisa join sama sekali. pliisss lah ini aku mau daring gimanaaa!!!!benerin dong aplikasinya cepetan!!!!",Kurang
"Tolong tampilan google meet nya dibuat nyaman dan praktis di HP maupun PC. Untuk tampilan yang di HP layar nya dibuat luas agar bisa keliatan. Terus tampilan google meet punya temen jangan dimunculin di layar utama, jadinya gak keliatan orang yg sedang bicara maupun melihat tulisan yang ada di layar. Terimakasih, tolong segera diperbaharui ya🙏",Kurang
"Aplikasi sudah bagus namun ini app kadang² ANNOYING bgt loh!🗯💢💢, app ini ngefreeze mulu, aku jadi gak bisa ngemute dan camera on. App ini sebenarnya kadang² ngefreeze, walaupun jarang tetap, aku gak suka. BIKIN KESEL TAU. jika ini diperbaiki aku akan kasih ini app Baik bintang.atau 4 - from user",Kurang
"Tampilan yang baru menjadi lebih ribet dan kurang bagus dibandingkan versi lama sebelum ganti UI, alangkah baiknya dikembalikan ke tampilan yang lama. Karena baik yang lama maupun baru tidak ada perubahan fitur",Kurang
Terimakasih telah membuat aplikasi untuk mempermudah belajar daring saat di rumah tetapi sekarang kenapa susah sekali untuk bergabung dalam rapat. Dan yang muncul hanya suaranya saja kemudian tampilan dari gmeetnya sendiri tidak tampak. Masalah demikian saya kira banyak juga yg mengalami. Jadi mohon untuk diperbaiki lagi. Terimakasih.,Kurang
"Padahal sinyal full tapi suara microfon kita tidak didenger sama temen, bikin malu saja pas presen tasi hadehhhhh,,😭😭😭 tolong diperbaiki seperti yang dulu suara putus2 gak apa2 biar dosen tau kita lag",Kurang
"Kenapa ni apk semakin lama ,makin buruk .saat keluar meet layar lansung hitam ,ketika mau masuk lagi tidak bisa memencet tombol tombolnya atau langsung eror._mohonlah diperbaiki ni apk .gua lagi perlu banget untuk belajar .kadang guru buat aku jadi absen .jadi tolong diperbaiki ya,plisssss!!!!!!!🤚",Kurang
"Habis update ko malah ga bisa diliat kalo orang lain/ dosen lagi bagikan layar😭tolong inimah knpa padahal sinyal bagus, dan ga cuma aku. Temenku yg habis update gitu tampilannya berubah, dan ga bisa liat presentasi😭 udah diperbarui semua tetep aja, ini tolong dibenerin yallah 😭 enak tampilan dulu, bukan yg sekarang",Kurang
"Kenapa setelah di update jadi jelek banget, sering banget error, tiba tiba hening keluar sendiri gak bisa masuk lagi, padahal sianyal bagus, klo seperti ini terus kasihan yang lagi daring seperti ini, mohon untuk ditingkatkan lagi -_-",Kurang
"Ini yg punya aplikasi siapa sihhh??? Tolonggg donggg diperbaikiii, saya mau kuliahhh nihhh! Kan jd terhambat kalau apk ny bermasalah. Saya gak bisa akses sama sekali. Setiap masuk ke apk ny psti keluar sendiri. Mngkin hrs di update, OKELAH sy update. Udah di update TETAP GAK BISA DI GUNAIN! Kan jadi ngerugiin orang, waktu kebuang, paket data ikut kepake. Tlng dongg diperbaiki. Kita perlu banget apk ini buat daring. Kalian jg pasti perlu rating yg bagus kan?",Kurang
"Jelek banget, sering keluar2 padahal jaringan bagus, lagi dijelasin tiba-tiba DC (DisConnect) dan gak ada fitur angkat tangan, jadi harus chat dulu, pokoknya jelek banget dah, kalo DC ditanyain bagaimana kualitas vidio dan audio, tapi gak pernah dibenerin, audio juga putus2 App jelek lah pokoknya",Kurang
"Setiap saya pakai google meet ini,selalu muncul tulisan ""sayangnya google meet telah berhenti"" Alhasil saya kuliah kaya dendar radio,tidak ada muncul gambar dan lainnya. Setiap sepersekian menit google meet saya selalu keluar dan harus masuk lagi. Begitu terus",Kurang
"saya beri bintang satu dahulu karena saya rasa g-meet akhir² ini mengalami penurunan kualitas dari sebelumnya. Karena seringkali saya alami video terputus, audio berdengung padahal untuk signal lancar saja",Kurang
Aplikasi maunya dikurangi donk untuk penggunaan data internet. Aplikasi ini terlalu banyak Makan kouta internet maunya aplikasi nya mengakses internet itu sedikit. Soalnya ini kan pandemi jadi untuk beli paket internet pasti tidak bisa dengan cepat. Jadi tolong kepada pihak apps nya di perbaiki ya. Dan kurangi size nya biar ring an dan tidak banyak memakan memori pada handphone android.,Kurang
"Setelah aku update, kok setiap aku masuk meet suaranya putus-putus, padahal sinyalku bagus,,, susah banget waktu kuliah malah putus-putus.. Masih bagusan versi yang lama, tolong pihak google meet di kembalikan saja ke versi yang lama.. Kalau gini terus saya nggak bisa diskusi waktu kuliah",Kurang
"Banyak bug mulai dri ga bisa join meet, mic, lag dll",Kurang
"Aplikasi nya sebenarnya bagus, tapi kenapa saat saya daring kenapa suka keluar sendiri? Pdhlh disitu sy sdng menyimak, dan kenapa wajah atau suara teman teman ataupun guru saya tidak kedengaran dan kelihatan? Suaranya pun putus-putus. Tolong segera diperbaiki🙏🏼",Kurang
"Tolong dong diperbaiki apknya. Setelah saya update kok malah tambah jelek. Suara gurunya tiba"" gaada trus keluar"" sendiri. Masa saya harus ngulang"" masuknya teruss. Padahal dulu tdk seperti itu.",Kurang
"Lebih bagus yang dulu, soalnya yang sekarang suaranya lebih tidak jelas dan sering keluar keluar sendiri, kalau yang dulu suaranya masih jelas walaupun agak macet tapi masih bisa di dengar daripada yang sekarang, dan dulu nggak keluar keluar sendiri daripada yang sekarang padahal sinyalnya masih bagus. Tolong devloper perbaiki ya nanti aku kasih bintang 4-Baik",Kurang
Gara gara tertipu pake aplikasi yg ini.. Gua sering di cancel meeting gara2 headshet ga konek kalo dicolok. .. Harusnya pake yg satunya. Sangat dirugikan. Masa iya aplikasi begini asli google? Cukkk,Kurang
ni apk kaya kanjut tiap detik update tp kamera sm jaringan makin buruk anying,Kurang
"berat banget dan sangat lelet, semakin update makin parah sampe"" nunggu loadingnya aja lama banget parah, tolong diperbaiki",Kurang
Dimana opsi membagikan link dari meet yg dijadwalkan di kalendar? Dulu ada!,Kurang
Ini app bajakan atau asli? Kok bahasanya aneh.,Kurang
Maaf kalo kasih bintang Kurang ya...solanya pas lagi share screen/presentasi layar di hp....itu nggak ada suara nya mohon diperbaiki ya untuk presentasi google meet sama suara presentasi nya juga harus terdengar...ntar kalo udah done...dikasih bintang Baik deh :),Kurang
"Sebelom update bisa ubah background, setelah update peforma menurun jadi gabisa ganti background. Sangat disayangkan. Segera perbaiki, kalo udah bisa nanti bintangnya saya ubah wkwkw",Kurang
"Ini kenapa ya pas buka aplikasi ini auto sinyal down. Patah² suaranya & ngga ada gambarnya. Udah gitu keluar sendiri pula. Tapi pas udah keluar aplikasi ini, lancar lagi sinyalnya. Apakah versi android Kurang0 Terlalu tinggi?",Kurang
"Sejak kemarin saya ga bisa aktifin kamera dan lihat tampilan video dari peserta yang lain pas pake di android. Padahal sebelumnya baik-baik aja. Saya juga udah mengaktifkan perizinan penggunaan kamera dan audio, tapi tetap tidak bisa juga. Ini juga uninstall terus ngeinstal ulang tetep gabisa, kesel banget",Kurang
"Sinyal bagus, buka apps lain lancar jaya. Giliran buka apps ini, loading bisa nyampe sejam. Udah clear cache, clear data sama aja gaada perubahan wkwk.",Kurang
"Enggak enak pake ini. Tiba-tiba keluar sendiri, udah hapus chance, sinyal udah bagus, bolak balik masuk tetep aja keluar. Udah update terbaru juga sama, udah 3 kali gak ikut rapat gara gara google meet gak bisa.",Kurang
"Sering keluar sendiri meskipun sinyal bagus. Pas udah keluar gak bisa otomatis masuk lagi kayak aplikasi sebelah, harus masukin kode berulang-ulang, jadinya lebih ribett!!",Kurang
